INPUT:url	INPUT:query	OUTPUT:result	GOLDEN:result	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started
https://www.bestbuy.com/site/searchpage.jsp?id=pcat17071&st=acer+aspire+laptop	acer aspire	Relevant				https://toloka.yandex.ru/task/29354789/0001bfeb25--618d8956d9630e164cbde4ef	25ef2fca-4720-44e0-9929-80e2dae8a818	0001bfeb25--618d8956d9630e164cbde4ef	081b4d1fba7aded65613f7a1e199c467	APPROVED	2021-11-11T21:21:26.561
https://www.modcloth.com/shop/high-waisted-pants	high waisted pants for women	RelevantMinus				https://toloka.yandex.ru/task/29354789/0001bfeb25--618d8956d9630e164cbde4ef	e722b6c1-6f24-4cfe-8e90-b777f30f3bed	0001bfeb25--618d8956d9630e164cbde4ef	081b4d1fba7aded65613f7a1e199c467	APPROVED	2021-11-11T21:21:26.561
https://www.tennisexpress.com/bag-sale	tennis bag	Relevant				https://toloka.yandex.ru/task/29354789/0001bfeb25--618d8956d9630e164cbde4ef	3ec16b09-3e5f-4b55-b97d-9e6e5754c88b	0001bfeb25--618d8956d9630e164cbde4ef	081b4d1fba7aded65613f7a1e199c467	APPROVED	2021-11-11T21:21:26.561
https://www.glovesmag.com/kickboxing-gloves/	kickboxing gloves	Relevant				https://toloka.yandex.ru/task/29354789/0001bfeb25--618d897043c8893cca5ad3e3	ce3646ab-9d82-4f5e-ba70-95f48aa51bc3	0001bfeb25--618d897043c8893cca5ad3e3	b5b8f6ea9c4a7b855bd920f508aad08b	APPROVED	2021-11-11T21:21:52.637
https://www.amazon.com/Playstation-PS4-1TB-Console-AlleyFlex/dp/B08QF4PB4B?ref_=Oct_s9_apbd_otopr_hd_bw_b710gst&pf_rd_r=XW2SWJAFR6JYK7VCXJSW&pf_rd_p=13383fcd-a984-4438-a2f3-4286dd71368c&pf_rd_s=merchandised-search-10&pf_rd_t=BROWSE&pf_rd_i=6427871011	playstation 4 price	RelevantMinus				https://toloka.yandex.ru/task/29354789/0001bfeb25--618d897043c8893cca5ad3e3	3cadb192-a93f-4547-a8a2-a85f86a220e0	0001bfeb25--618d897043c8893cca5ad3e3	b5b8f6ea9c4a7b855bd920f508aad08b	APPROVED	2021-11-11T21:21:52.637
https://www.bedbathandbeyond.com/store/category/health-beauty/fitness-wellness/scales/13569/?icid=hp_cm_V4_cm5_scales_16685	electronic scale	Relevant				https://toloka.yandex.ru/task/29354789/0001bfeb25--618d897043c8893cca5ad3e3	559059a8-d7e4-40b0-bb5e-497e064b8002	0001bfeb25--618d897043c8893cca5ad3e3	b5b8f6ea9c4a7b855bd920f508aad08b	APPROVED	2021-11-11T21:21:52.637
https://www.woodworkerssource.com	surfboards	Relevant				https://toloka.yandex.ru/task/29354789/0001bfeb25--618d897843c8893cca5ad477	ad6f4346-09bb-493d-9a46-e44067132024	0001bfeb25--618d897843c8893cca5ad477	756b527f644db6ef637030f5e027486f	APPROVED	2021-11-11T21:22:00.495
https://www.cobragolf.com/golf-clubs/irons	Ironing boards	RelevantMinus				https://toloka.yandex.ru/task/29354789/0001bfeb25--618d897843c8893cca5ad477	36bacb26-9891-4043-bbf5-c44f8302b579	0001bfeb25--618d897843c8893cca5ad477	756b527f644db6ef637030f5e027486f	APPROVED	2021-11-11T21:22:00.495
https://www.bestbuy.com/site/office-furniture-storage/gaming-chairs/abcat0106021.c?id=abcat0106021	gamer chair	Irrelevant				https://toloka.yandex.ru/task/29354789/0001bfeb25--618d897843c8893cca5ad477	283fbd19-28c1-4861-8cc9-b39ecd970380	0001bfeb25--618d897843c8893cca5ad477	756b527f644db6ef637030f5e027486f	APPROVED	2021-11-11T21:22:00.495
https://bestbasketballmag.com/portable-basketball-hoop/	adjustable portable basketball hoop	Relevant				https://toloka.yandex.ru/task/29354789/0001bfeb25--618d898137578a25c726b1d3	42764ad2-299f-4f9e-89b0-4e800e50ab3f	0001bfeb25--618d898137578a25c726b1d3	081b4d1fba7aded65613f7a1e199c467	APPROVED	2021-11-11T21:22:09.403
https://www.skis.com	inline skates	404				https://toloka.yandex.ru/task/29354789/0001bfeb25--618d898137578a25c726b1d3	c32a59f3-f72b-47a1-b654-f14f74cd02b0	0001bfeb25--618d898137578a25c726b1d3	081b4d1fba7aded65613f7a1e199c467	APPROVED	2021-11-11T21:22:09.403
https://www.chapmoto.com/motorcycle-helmets	football helmet	Irrelevant				https://toloka.yandex.ru/task/29354789/0001bfeb25--618d898137578a25c726b1d3	ad7492cc-8bc4-4983-b563-23ff1ab122ed	0001bfeb25--618d898137578a25c726b1d3	081b4d1fba7aded65613f7a1e199c467	APPROVED	2021-11-11T21:22:09.403
https://www.bestbuy.com/site/searchpage.jsp?id=pcat17071&st=acer+aspire+laptop	acer aspire	Irrelevant				https://toloka.yandex.ru/task/29354789/0001bfeb25--618d898bbfd7fc150e69d83d	25ef2fca-4720-44e0-9929-80e2dae8a818	0001bfeb25--618d898bbfd7fc150e69d83d	5a78bf74f91d9c8099176d392853c537	APPROVED	2021-11-11T21:22:19.763
https://www.modcloth.com/shop/high-waisted-pants	high waisted pants for women	Relevant				https://toloka.yandex.ru/task/29354789/0001bfeb25--618d898bbfd7fc150e69d83d	e722b6c1-6f24-4cfe-8e90-b777f30f3bed	0001bfeb25--618d898bbfd7fc150e69d83d	5a78bf74f91d9c8099176d392853c537	APPROVED	2021-11-11T21:22:19.763
https://www.tennisexpress.com/bag-sale	tennis bag	RelevantMinus				https://toloka.yandex.ru/task/29354789/0001bfeb25--618d898bbfd7fc150e69d83d	3ec16b09-3e5f-4b55-b97d-9e6e5754c88b	0001bfeb25--618d898bbfd7fc150e69d83d	5a78bf74f91d9c8099176d392853c537	APPROVED	2021-11-11T21:22:19.763
https://www.chokesports.com/collections/boxing-gloves/products/isami-pro-boxing-gloves	boxing gloves	Relevant				https://toloka.yandex.ru/task/29354789/0001bfeb25--618d898c1645434d15fe5445	70a0c577-08cc-4d9e-8f52-973e9a571ab0	0001bfeb25--618d898c1645434d15fe5445	e0148cf09fd433441e7e33a3cb0d0d45	APPROVED	2021-11-11T21:22:20.251
https://sidelineswap.com/gear/softball/bats/2938383-louisville-slugger-lxt-30-19-11-fastpitch-softball-bat	softball bats	Relevant				https://toloka.yandex.ru/task/29354789/0001bfeb25--618d898c1645434d15fe5445	1d784067-b72b-4afe-99de-5ed3b5aa82f7	0001bfeb25--618d898c1645434d15fe5445	e0148cf09fd433441e7e33a3cb0d0d45	APPROVED	2021-11-11T21:22:20.251
https://www.sportsunlimitedinc.com/adams-football-equipment.html	adams football equipment	Relevant				https://toloka.yandex.ru/task/29354789/0001bfeb25--618d898c1645434d15fe5445	ecf1bcd4-3fa1-4738-ad99-59c07232d082	0001bfeb25--618d898c1645434d15fe5445	e0148cf09fd433441e7e33a3cb0d0d45	APPROVED	2021-11-11T21:22:20.251
